词性,出现次数
/v/d/r/v/v,9
/v/v/v/d/r,3
/v/u/n/n/n,4
/v/v/r/n/u,4
/r/u/v/v/r,3
/v/m/d/d/v,3
/v/r/d/v/v,3
/v/d/v/d/u,4
/u/v/n/r/v,3
/v/d/a/v/v,3
/a/n/n/n/n,2
/a/n/v/v/r,2
/u/v/d/u/v,3
/v/n/n/a/n,3
/n/p/n/v/v,3
/n/v/v/v/q,6
/v/v/u/r/n,4
/v/n/p/v/v,4
/a/v/v/m/v,3
/d/n/r/v/n,3
/n/nh/v/v/n,3
/m/v/v/u/v,3
/v/n/r/u/v,7
/n/v/n/d/u,6
/v/r/v/d/n,3
/a/v/m/v/v,2
/a/v/v/d/r,2
/c/u/v/n/v,5
/d/n/c/v/u,2
/n/v/v/n/r,3
/n/r/n/v/u,10
/a/d/d/u/v,2
/d/r/u/d/v,2
/d/v/u/v/d,11
/n/r/n/d/d,2
/n/v/u/d/v,22
/m/q/v/n/v,3
/n/nt/q/n/q,3
/n/r/p/n/v,3
/m/n/n/n/n,3
/n/d/n/v/u,4
/n/n/v/d/u,3
/d/n/m/v/v,3
/n/n/u/r/n,3
/v/u/v/v/a,7
/v/v/r/d/n,3
/a/c/u/u/u,2
/a/d/v/u/v,2
/d/d/v/n/v,10
/n/u/n/n/v,6
/n/v/n/d/d,3
/v/n/m/n/v,3
/a/v/v/u/u,2
/v/v/v/v/m,9
/d/q/u/u/v,3
/n/ns/d/v/v,3
/m/v/v/n/n,7
/p/v/v/d/u,4
/d/v/n/m/n,3
/n/d/n/d/v,3
/v/n/d/d/v,7
/a/d/u/n/u,2
/n/m/nd/v/n,3
/d/n/v/r/v,11
/d/v/v/m/v,4
/d/n/p/v/n,3
/m/v/n/v/n,5
/v/n/v/r/n,8
/a/d/u/d/u,3
/d/u/n/u/v,6
/m/v/v/n/r,3
/n/d/u/n/v,9
/p/a/v/v/r,3
/u/a/v/u/u,3
/u/nh/v/v/u,3
/v/n/n/r/v,9
/d/u/d/m/v,3
/d/u/m/v/n,3
/c/v/r/v/u,2
/d/u/n/v/q,2
/d/d/n/u/v,3
/n/n/r/u/n,3
/v/n/r/n/d,3
/n/d/n/v/r,4
/u/v/u/r/n,4
/v/v/n/m/n,3
/u/u/v/u/n,4
/n/u/u/v/u,3
/d/m/v/d/v,3
/r/v/v/u/u,6
/m/v/v/a/d,3
/v/n/v/u/d,3
/n/d/u/v/d,3
/v/u/r/n/v,3
/v/v/r/v/r,7
/d/n/n/n/d,6
/n/u/r/v/v,6
/u/v/n/u/v,4
/n/v/m/d/n,3
/v/n/r/v/u,3
/n/v/n/v/a,6
/u/a/n/u/v,2
/u/u/a/n/u,2
